objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237667911676396030,208.50618,23.304503,0.441434,1.100539E-4,22.206287,20.687494,0.075565,0.030772
1237665566067720331,208.61329,22.939632,0.102616,9.913007E-6,19.927839,19.414076,0.016944,0.023153
1237667911676395686,208.56032,23.216827,0.056186,1.230558E-5,19.351728,18.647526,0.020267,0.015228
1237667911676461262,208.72093,23.129039,0.12563,8.881392E-6,19.525145,18.762888,0.020732,0.013534
1237667911676395697,208.57345,23.232971,0.05525,9.161571E-6,19.366533,19.014322,0.019718,0.016156
1237667911676395663,208.5523,23.301628,0.055665,1.115877E-5,18.141073,17.405172,0.017837,0.013701
1237665566604591248,208.67748,23.34179,0.055632,1.219629E-5,17.87373,17.089638,0.01293,0.015317
1237667911676395668,208.55914,23.320248,0.064477,1.217281E-5,20.208015,19.864214,0.025609,0.021828
1237667911676395657,208.55789,23.348974,0.055553,1.101731E-5,19.278692,18.414316,0.01928,0.014605
1237665566067523740,208.17223,23.029853,0.052992,1.605658E-5,19.205383,18.644316,0.01767,0.012643
1237662224089743837,242.53794,23.371244,0.030909,1.053824E-5,21.242308,20.926542,0.036846,0.033382
1237662662144491811,242.21594,23.860245,0.087155,2.693443E-5,19.455393,18.541805,0.021687,0.011278
1237662224089546922,242.12521,23.701117,0.068722,2.47774E-5,20.215693,19.459583,0.023134,0.019342
1237662224089547725,242.22506,23.61396,0.365537,1.233108E-4,22.044205,20.368774,0.059593,0.025273
1237662662144557336,242.35098,23.806514,0.118331,3.041027E-5,19.541012,18.660101,0.023312,0.014039
1237662224089612339,242.32656,23.590778,0.066234,9.748378E-6,18.443367,17.976133,0.016033,0.017884
1237662224089547127,242.18011,23.539644,0.12565,1.294223E-5,19.766623,18.939583,0.019459,0.017262
1237662224089546836,242.17771,23.589023,0.040845,2.447597E-5,19.475748,18.62439,0.018407,0.016582
1237662224089612405,242.20229,23.528545,0.088831,7.509228E-6,19.329166,18.589314,0.017301,0.016597
1237662224089612453,242.27738,23.526657,0.068542,1.220384E-5,20.140207,19.725988,0.020937,0.021524
