posx/ posy/ cuentas_g/ magnitud_g/ cielo_g/ cuentas_r/ magnitud_r/ cielo_r/ G-R/ 
303	470	7.245	22.85	0.013	28.854	21.349	0.021	1.501
287	439	4.776	23.302	0.013	18.636	21.824	0.021	1.478
317	427	9.862	22.515	0.013	38.167	21.046	0.021	1.469
339	461	0.522	25.705	0.013	2.042	24.225	0.021	1.48
328	406	0.18	26.864	0.013	0.294	26.329	0.021	0.535
323	399	0.111	27.383	0.013	0.35	26.141	0.021	1.242
333	369	0.09	27.618	0.013	0.401	25.993	0.021	1.625
305	361	5.065	23.239	0.013	14.386	22.105	0.021	1.134
245	362	2.694	23.924	0.013	10.058	22.494	0.021	1.43
282	367	0.158	27.004	0.013	0.999	25.001	0.021	2.003
185	363	0.095	27.554	0.013	0.366	26.091	0.021	1.463
203	367	0.134	27.18	0.013	0.175	26.895	0.021	0.285
163	350	-0.002	nan	0.013	0.179	26.865	0.021	nan
223	357	0.799	25.244	0.013	3.499	23.64	0.021	1.604
351	442	0.259	26.467	0.013	1.519	24.546	0.021	1.921
358	447	0.021	29.175	0.013	0.137	27.161	0.021	2.014
365	457	2.343	24.076	0.013	8.808	22.638	0.021	1.438
356	478	0.184	26.84	0.013	0.609	25.538	0.021	1.302
363	433	0.356	26.121	0.013	1.087	24.91	0.021	1.211
375	425	1.225	24.779	0.013	3.71	23.577	0.021	1.202
348	385	0.248	26.513	0.013	1.071	24.925	0.021	1.588
377	398	0.054	28.174	0.013	0.421	25.938	0.021	2.236
403	433	0.4	25.996	0.013	1.315	24.702	0.021	1.294
391	454	0.209	26.701	0.013	0.549	25.651	0.021	1.05
374	479	0.119	27.314	0.013	0.457	25.85	0.021	1.464
418	476	2.905	23.842	0.013	6.151	23.028	0.021	0.814
428	473	0.072	27.86	0.013	0.279	26.387	0.021	1.473
436	456	2.175	24.157	0.013	7.683	22.786	0.021	1.371
428	420	0.187	26.819	0.013	1.042	24.955	0.021	1.864
455	422	0.454	25.858	0.013	1.88	24.315	0.021	1.543
491	435	3.065	23.784	0.013	24.979	21.506	0.021	2.278
460	407	0.522	25.705	0.013	1.987	24.254	0.021	1.451
464	401	0.209	26.701	0.013	1.3	24.715	0.021	1.986
478	405	0.345	26.154	0.013	0.833	25.198	0.021	0.956
435	373	0.097	27.532	0.013	0.391	26.019	0.021	1.513
401	364	0.137	27.16	0.013	0.849	25.178	0.021	1.982
381	317	0.064	27.977	0.013	0.223	26.63	0.021	1.347
381	310	0.511	25.728	0.013	2.37	24.063	0.021	1.665
469	348	24.706	21.518	0.013	59.667	20.561	0.021	0.957
479	361	0.115	27.348	0.013	0.711	25.37	0.021	1.978
465	327	0.155	27.027	0.013	0.574	25.602	0.021	1.425
425	318	0.573	25.605	0.013	2.714	23.916	0.021	1.689
451	304	0.284	26.365	0.013	1.515	24.549	0.021	1.816
450	296	0.288	26.352	0.013	1.106	24.89	0.021	1.462
403	304	0.45	25.867	0.013	1.188	24.813	0.021	1.054
400	290	4.3	23.416	0.013	21.511	21.668	0.021	1.748
406	275	0.367	26.088	0.013	0.843	25.186	0.021	0.902
413	270	0.867	25.155	0.013	2.237	24.126	0.021	1.029
464	260	2.057	24.217	0.013	3.362	23.683	0.021	0.534
493	271	37.362	21.069	0.013	46.604	20.829	0.021	0.24
288	216	3.628	23.601	0.013	11.792	22.321	0.021	1.28
244	215	0.666	25.442	0.013	5.651	23.12	0.021	2.322
270	236	0.833	25.199	0.013	1.087	24.91	0.021	0.289
249	229	0.989	25.012	0.013	4.198	23.442	0.021	1.57
311	243	2.573	23.974	0.013	5.706	23.109	0.021	0.865
354	229	1.944	24.278	0.013	5.315	23.186	0.021	1.092
336	215	0.157	27.007	0.013	0.603	25.55	0.021	1.457
338	211	0.232	26.588	0.013	0.837	25.193	0.021	1.395
323	189	0.747	25.317	0.013	2.319	24.087	0.021	1.23
340	197	0.146	27.091	0.013	0.25	26.505	0.021	0.586
290	200	0.392	26.017	0.013	1.3	24.715	0.021	1.302
