posx/ posy/ magnitud_g/ cielo_g/ magnitud_r/ cielo_r/ G-R/ 
361	218	20.808	0.013	19.874	0.021	0.934
391	243	19.83	0.013	18.694	0.021	1.136
393	252	22.995	0.013	21.338	0.021	1.657
344	239	23.288	0.013	22.034	0.021	1.254
411	239	24.772	0.013	23.445	0.021	1.327
395	213	19.859	0.013	18.748	0.021	1.111
373	247	24.385	0.013	22.786	0.021	1.599
302	190	22.718	0.013	21.305	0.021	1.413
437	211	23.898	0.013	22.437	0.021	1.461
471	208	24.456	0.013	22.984	0.021	1.472
481	192	22.993	0.013	21.283	0.021	1.71
488	182	24.011	0.013	21.958	0.021	2.053
479	183	24.305	0.013	22.707	0.021	1.598
424	242	24.537	0.013	23.108	0.021	1.429
451	228	24.291	0.013	22.911	0.021	1.38
361	204	24.493	0.013	22.464	0.021	2.029
370	199	22.489	0.013	20.973	0.021	1.516
433	203	24.681	0.013	23.054	0.021	1.627
432	157	24.354	0.013	22.417	0.021	1.937
423	196	21.95	0.013	20.581	0.021	1.369
419	152	23.029	0.013	21.769	0.021	1.26
386	156	21.389	0.013	20.257	0.021	1.132
405	170	21.637	0.013	20.194	0.021	1.443
354	150	23.694	0.013	23.188	0.021	0.506
332	158	23.238	0.013	21.941	0.021	1.297
452	147	23.994	0.013	22.46	0.021	1.534
321	180	24.118	0.013	23.377	0.021	0.741
315	181	23.745	0.013	22.813	0.021	0.932
335	173	24.006	0.013	23.44	0.021	0.566
299	180	24.105	0.013	22.779	0.021	1.326
300	164	22.439	0.013	21.274	0.021	1.165
288	187	20.061	0.013	18.653	0.021	1.408
290	180	21.249	0.013	20.04	0.021	1.209
289	161	22.783	0.013	21.483	0.021	1.3
281	150	23.108	0.013	21.976	0.021	1.132
272	200	20.393	0.013	19.21	0.021	1.183
270	185	21.783	0.013	20.796	0.021	0.987
210	236	21.766	0.013	20.615	0.021	1.151
321	146	23.914	0.013	22.944	0.021	0.97
175	229	20.518	0.013	19.441	0.021	1.077
234	215	23.468	0.013	22.233	0.021	1.235
227	212	20.202	0.013	19.012	0.021	1.19
232	204	21.654	0.013	20.591	0.021	1.063
252	190	21.167	0.013	19.96	0.021	1.207
216	200	20.724	0.013	19.025	0.021	1.699
217	158	20.688	0.013	19.601	0.021	1.087
209	165	23.044	0.013	21.997	0.021	1.047
258	160	21.146	0.013	20.036	0.021	1.11
196	169	23.953	0.013	22.649	0.021	1.304
183	175	24.587	0.013	23.16	0.021	1.427
59	339	23.565	0.013	22.199	0.021	1.366
87	321	22.159	0.013	20.963	0.021	1.196
85	339	23.401	0.013	21.884	0.021	1.517
60	302	20.269	0.013	19.175	0.021	1.094
80	326	23.008	0.013	21.519	0.021	1.489
12	339	21.977	0.013	20.537	0.021	1.44
55	316	24.478	0.013	22.739	0.021	1.739
44	307	24.35	0.013	23.063	0.021	1.287
38	306	24.622	0.013	22.923	0.021	1.699
20	308	21.875	0.013	20.566	0.021	1.309
64	308	23.976	0.013	21.82	0.021	2.156
73	279	23.913	0.013	22.341	0.021	1.572
41	291	24.196	0.013	22.689	0.021	1.507
26	291	22.202	0.013	20.834	0.021	1.368
76	295	23.318	0.013	21.831	0.021	1.487
21	251	23.264	0.013	21.977	0.021	1.287
92	243	23.676	0.013	22.318	0.021	1.358
82	250	24.74	0.013	22.811	0.021	1.929
171	221	22.729	0.013	21.412	0.021	1.317
161	224	20.751	0.013	19.556	0.021	1.195
131	242	23.08	0.013	21.82	0.021	1.26
149	195	21.117	0.013	19.431	0.021	1.686
166	234	21.408	0.013	20.038	0.021	1.37
127	233	20.087	0.013	18.718	0.021	1.369
131	228	22.558	0.013	21.288	0.021	1.27
167	180	21.261	0.013	19.772	0.021	1.489
136	211	24.169	0.013	22.471	0.021	1.698
112	210	21.442	0.013	20.059	0.021	1.383
119	222	23.316	0.013	21.856	0.021	1.46
130	219	22.002	0.013	20.77	0.021	1.232
91	215	23.456	0.013	21.609	0.021	1.847
61	205	22.487	0.013	21.149	0.021	1.338
110	229	21.007	0.013	20.048	0.021	0.959
75	196	22.754	0.013	21.025	0.021	1.729
28	206	22.589	0.013	21.217	0.021	1.372
72	215	20.745	0.013	19.044	0.021	1.701
32	162	17.685	0.013	17.627	0.021	0.058
18	181	21.907	0.013	20.564	0.021	1.343
99	171	23.382	0.013	21.885	0.021	1.497
99	186	22.621	0.013	21.131	0.021	1.49
113	147	22.813	0.013	21.495	0.021	1.318
78	138	21.983	0.013	20.634	0.021	1.349
13	110	19.97	0.013	17.792	0.021	2.178
63	85	20.938	0.013	19.917	0.021	1.021
119	155	20.278	0.013	19.078	0.021	1.2
118	97	20.277	0.013	19.351	0.021	0.926
103	116	22.299	0.013	21.222	0.021	1.077
152	116	21.686	0.013	20.697	0.021	0.989
120	134	19.902	0.013	18.166	0.021	1.736
168	117	20.466	0.013	19.305	0.021	1.161
161	107	20.768	0.013	19.398	0.021	1.37
157	91	21.982	0.013	20.679	0.021	1.303
169	129	22.251	0.013	20.808	0.021	1.443
136	90	23.3	0.013	22.102	0.021	1.198
137	107	23.549	0.013	22.498	0.021	1.051
182	97	21.691	0.013	20.717	0.021	0.974
228	94	19.123	0.013	18.206	0.021	0.917
240	133	18.884	0.013	18.169	0.021	0.715
208	122	19.641	0.013	18.247	0.021	1.394
197	90	18.786	0.013	18.129	0.021	0.657
275	92	21.815	0.013	20.904	0.021	0.911
249	138	20.728	0.013	19.488	0.021	1.24
281	105	22.552	0.013	21.307	0.021	1.245
301	115	22.825	0.013	21.582	0.021	1.243
261	104	22.976	0.013	21.687	0.021	1.289
323	117	22.153	0.013	20.977	0.021	1.176
320	104	22.633	0.013	21.162	0.021	1.471
180	140	23.152	0.013	21.861	0.021	1.291
190	142	23.606	0.013	21.905	0.021	1.701
89	122	23.808	0.013	21.675	0.021	2.133
130	69	21.025	0.013	19.55	0.021	1.475
76	70	23.215	0.013	21.717	0.021	1.498
64	18	19.083	0.013	17.944	0.021	1.139
29	44	21.271	0.013	20.224	0.021	1.047
74	27	21.281	0.013	20.114	0.021	1.167
79	55	19.285	0.013	18.353	0.021	0.932
106	13	21.094	0.013	19.716	0.021	1.378
147	32	23.432	0.013	21.795	0.021	1.637
92	36	20.262	0.013	18.378	0.021	1.884
128	23	22.822	0.013	21.721	0.021	1.101
161	46	23.308	0.013	21.911	0.021	1.397
184	44	23.807	0.013	22.056	0.021	1.751
323	72	21.659	0.013	20.268	0.021	1.391
243	45	22.534	0.013	20.748	0.021	1.786
352	52	19.798	0.013	18.486	0.021	1.312
267	27	22.998	0.013	21.629	0.021	1.369
316	15	22.383	0.013	20.517	0.021	1.866
256	18	23.644	0.013	22.164	0.021	1.48
355	122	22.831	0.013	21.389	0.021	1.442
418	142	22.887	0.013	21.458	0.021	1.429
424	137	22.079	0.013	21.111	0.021	0.968
371	80	20.39	0.013	19.083	0.021	1.307
407	92	22.097	0.013	21.241	0.021	0.856
423	83	21.342	0.013	19.993	0.021	1.349
470	108	23.722	0.013	22.258	0.021	1.464
410	16	20.921	0.013	19.68	0.021	1.241
385	32	22.852	0.013	21.315	0.021	1.537
420	30	22.204	0.013	20.722	0.021	1.482
462	42	23.622	0.013	22.267	0.021	1.355
438	36	21.602	0.013	20.134	0.021	1.468
